,state,participationpct_sat_2018,reading & writing_sat_2018,math_sat_2018,total_sat_2018,participationpct_act_2018,composite_act_2018,english_act_2018,math_act_2018,reading_act_2018,science_act_2018
0,Alabama,6.0,595.0,571.0,1166.0,100.0,19.1,18.9,18.3,19.6,19.0
1,Alaska,43.0,562.0,544.0,1106.0,33.0,20.8,19.8,20.6,21.6,20.7
2,Arizona,29.0,577.0,572.0,1149.0,66.0,19.2,18.2,19.4,19.5,19.2
3,Arkansas,5.0,592.0,576.0,1169.0,100.0,19.4,19.1,18.9,19.7,19.4
4,California,60.0,540.0,536.0,1076.0,27.0,22.7,22.5,22.5,23.0,22.1
5,Colorado,100.0,519.0,506.0,1025.0,30.0,23.9,23.9,23.2,24.4,23.5
6,Connecticut,100.0,535.0,519.0,1053.0,26.0,25.6,26.0,24.8,26.1,24.9
7,Delaware,100.0,505.0,492.0,998.0,17.0,23.8,23.7,23.1,24.5,23.4
8,District of Columbia,92.0,497.0,480.0,977.0,32.0,23.6,23.7,22.7,24.4,23.0
9,Florida,56.0,550.0,549.0,1099.0,66.0,19.9,19.2,19.3,21.1,19.5
10,Georgia,70.0,542.0,522.0,1064.0,53.0,21.4,20.9,20.7,21.2,21.4
11,Hawaii,56.0,480.0,530.0,1010.0,89.0,18.9,18.2,19.0,19.1,19.0
12,Idaho,100.0,508.0,493.0,1001.0,36.0,22.3,21.9,21.6,23.2,22.1
13,Illinois,99.0,513.0,506.0,1019.0,43.0,23.9,24.1,23.4,24.2,23.4
14,Indiana,63.0,542.0,532.0,1074.0,32.0,22.5,21.9,22.3,23.1,22.2
15,Iowa,3.0,634.0,631.0,1265.0,68.0,21.8,21.0,21.2,22.5,22.0
16,Kansas,4.0,633.0,631.0,1265.0,71.0,21.6,21.0,21.1,22.3,21.5
17,Kentucky,4.0,630.0,618.0,1248.0,100.0,20.2,19.9,19.7,20.8,20.1
18,Louisiana,4.0,615.0,595.0,1210.0,100.0,19.2,19.0,18.5,19.6,19.1
19,Maine,99.0,512.0,501.0,1013.0,7.0,24.0,23.8,23.6,24.7,23.4
20,Maryland,76.0,545.0,535.0,1080.0,31.0,22.5,22.1,22.0,23.1,22.2
21,Massachusetts,80.0,562.0,563.0,1125.0,25.0,25.5,25.5,25.2,25.9,24.7
22,Michigan,100.0,511.0,499.0,1011.0,22.0,24.4,24.5,23.9,24.7,23.9
23,Minnesota,4.0,643.0,655.0,1298.0,99.0,21.3,20.2,21.4,21.7,21.4
24,Mississippi,3.0,630.0,606.0,1236.0,100.0,18.6,18.2,18.1,18.9,18.6
25,Missouri,4.0,633.0,629.0,1262.0,100.0,20.0,19.5,19.7,20.5,20.0
26,Montana,10.0,606.0,592.0,1198.0,100.0,20.0,18.7,19.9,20.7,20.0
27,Nebraska,3.0,629.0,623.0,1252.0,100.0,20.1,19.4,19.8,20.4,20.1
28,Nevada,23.0,574.0,566.0,1140.0,100.0,17.7,16.6,17.8,18.0,17.9
29,New Hampshire,96.0,535.0,528.0,1063.0,16.0,25.1,25.1,24.7,25.6,24.4
30,New Jersey,82.0,547.0,547.0,1094.0,31.0,23.7,23.8,23.6,24.0,23.0
31,New Mexico,16.0,552.0,540.0,1093.0,67.0,19.4,18.3,19.1,20.1,19.7
32,New York,79.0,534.0,534.0,1068.0,27.0,24.5,24.2,24.2,24.9,24.2
33,North Carolina,52.0,554.0,543.0,1098.0,100.0,19.1,18.0,19.3,19.5,19.2
34,North Dakota,2.0,640.0,643.0,1283.0,98.0,20.3,19.1,20.3,20.7,20.5
35,Oklahoma,8.0,541.0,521.0,1062.0,100.0,19.3,18.4,18.8,20.1,19.4
36,Ohio,18.0,552.0,547.0,1099.0,100.0,20.3,19.3,20.3,20.8,20.4
37,Oregon,48.0,564.0,553.0,1117.0,42.0,21.3,20.6,20.9,21.9,21.1
38,Pennsylvania,70.0,547.0,539.0,1086.0,20.0,23.5,23.3,23.2,24.0,23.1
39,Rhode Island,97.0,513.0,505.0,1018.0,15.0,24.2,24.4,23.6,25.0,23.5
40,South Carolina,55.0,547.0,523.0,1070.0,100.0,18.3,17.3,18.2,18.6,18.5
41,South Dakota,3.0,622.0,618.0,1240.0,77.0,21.9,20.8,21.6,22.4,22.2
42,Tennessee,6.0,624.0,607.0,1231.0,100.0,19.6,19.4,19.1,19.9,19.6
43,Texas,66.0,520.0,512.0,1032.0,41.0,20.6,19.6,20.6,21.1,20.8
44,Utah,4.0,480.0,530.0,1010.0,100.0,20.4,19.7,19.9,20.9,20.5
45,Vermont,64.0,565.0,554.0,1120.0,24.0,24.1,23.9,23.4,24.9,23.8
46,Virginia,68.0,567.0,550.0,1117.0,24.0,23.9,23.8,23.3,24.7,23.5
47,Washington,69.0,543.0,538.0,1081.0,24.0,22.2,21.4,22.2,22.7,22.0
48,West Virginia,28.0,513.0,486.0,999.0,65.0,20.3,19.8,19.4,21.3,20.4
49,Wisconsin,3.0,641.0,653.0,1294.0,100.0,20.5,19.8,20.3,20.6,20.8
50,Wyoming,3.0,633.0,625.0,1257.0,100.0,20.0,19.0,19.7,20.6,20.3
