Id,Lot Area,Lot Shape,Overall Qual,Mas Vnr Area,Exter Qual,Bsmt Qual,Bsmt Exposure,BsmtFin SF 1,Total Bsmt SF,Heating QC,1st Flr SF,Gr Liv Area,Garage Area,Wood Deck SF,Open Porch SF,house age,reno newness,MS SubClass_SC60,MS Zoning_RM,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_StoneBr,Year Built_2008,Roof Style_Gable,Roof Style_Hip
109,13517,3,6,289.0,4,3,0,533.0,725.0,5,725,1479,475.0,0,44,34,5,1,0,0,0,0,0,1,0
544,11492,3,7,132.0,4,4,0,637.0,913.0,5,913,2122,559.0,0,74,13,12,1,0,0,0,0,0,1,0
153,7922,4,5,0.0,3,3,0,731.0,1057.0,3,1057,1057,246.0,0,52,57,3,0,0,0,0,0,0,1,0
318,9802,4,5,0.0,3,4,0,0.0,384.0,4,744,1444,400.0,100,0,4,3,1,0,0,0,0,0,1,0
255,14235,3,6,0.0,3,2,0,0.0,676.0,3,831,1445,484.0,0,59,110,17,0,0,0,0,0,0,1,0
138,16492,3,6,0.0,4,3,0,247.0,1517.0,5,1888,1888,578.0,0,0,44,8,0,0,0,0,0,0,1,0
2827,3675,4,6,82.0,3,4,3,547.0,547.0,4,1072,1072,525.0,0,44,1,0,0,1,0,0,0,0,1,0
145,12160,3,5,180.0,3,3,0,1000.0,1188.0,2,1188,1188,531.0,0,0,51,51,0,0,0,0,0,0,0,1
1942,15783,4,5,0.0,3,3,0,292.0,924.0,3,924,924,420.0,0,324,55,55,0,0,0,0,0,0,1,0
1956,11606,3,5,192.0,3,4,2,650.0,1040.0,3,1040,2080,504.0,335,0,38,38,1,0,0,0,0,0,1,0
1044,1680,4,6,232.0,3,3,0,387.0,483.0,3,483,987,264.0,0,0,37,37,0,1,0,0,0,0,1,0
2752,7488,3,7,0.0,4,4,2,393.0,1208.0,5,1208,1208,632.0,105,58,1,1,0,0,0,0,0,0,1,0
807,26400,4,5,0.0,4,0,0,0.0,0.0,5,1288,2016,576.0,0,0,129,2,0,0,0,0,0,0,1,0
1177,2645,4,8,456.0,4,4,0,813.0,960.0,5,962,1607,480.0,169,0,9,8,0,0,0,0,0,0,1,0
1480,9627,4,7,0.0,4,4,2,24.0,1351.0,5,1361,1361,610.0,0,50,1,1,0,0,0,0,0,0,1,0
324,10114,4,5,0.0,3,5,2,0.0,1430.0,5,1430,1430,624.0,0,0,6,5,0,0,0,0,0,0,1,0
1311,4571,4,5,0.0,3,3,0,0.0,624.0,2,624,1344,513.0,0,0,92,58,0,1,0,0,0,0,1,0
770,8816,4,5,0.0,3,3,0,651.0,1121.0,3,1121,1121,480.0,0,80,46,46,0,0,0,0,0,0,1,0
2063,8197,4,6,148.0,3,3,0,0.0,660.0,5,1285,1285,528.0,138,0,30,30,0,0,0,0,0,0,1,0
69,8640,4,7,0.0,3,4,1,24.0,756.0,5,764,1547,614.0,169,45,1,1,1,0,0,0,0,0,1,0
2062,8724,4,5,0.0,3,4,0,492.0,894.0,4,894,894,450.0,0,0,39,39,0,0,0,0,0,0,1,0
351,5664,3,8,0.0,4,4,0,1158.0,1501.0,5,1659,1659,499.0,212,59,9,9,0,0,0,0,1,0,1,0
2393,12867,3,8,0.0,4,5,2,0.0,1209.0,5,1209,2253,575.0,243,142,1,0,1,0,0,1,0,0,1,0
12,7980,3,6,0.0,3,4,0,935.0,1168.0,5,1187,1187,420.0,483,21,18,3,0,0,0,0,0,0,1,0
2339,34650,4,5,0.0,3,3,1,1056.0,1056.0,3,1056,1056,572.0,264,0,51,51,0,0,0,0,0,0,0,1
624,10573,3,6,3.0,3,3,0,1312.0,1453.0,5,1453,1453,530.0,0,49,48,48,0,0,0,0,0,0,0,1
86,8450,4,5,0.0,3,3,0,553.0,894.0,5,894,894,336.0,416,144,45,1,0,0,0,0,0,0,1,0
1534,11700,3,5,0.0,3,3,0,606.0,942.0,5,1265,1938,240.0,0,40,71,13,0,0,0,0,0,0,1,0
2243,8250,4,5,0.0,3,3,0,0.0,957.0,2,1034,1991,0.0,0,0,112,1,0,0,0,0,0,0,1,0
1957,8064,4,5,0.0,3,3,1,0.0,672.0,5,672,924,576.0,0,0,58,1,0,0,0,0,0,0,1,0
380,9600,4,8,0.0,4,4,0,1104.0,2524.0,3,2524,2524,542.0,474,120,28,28,0,0,0,0,0,0,0,1
2860,11435,3,8,0.0,3,4,0,0.0,792.0,2,792,1517,400.0,0,0,77,56,0,0,0,0,0,0,1,0
2517,9549,3,8,0.0,4,4,2,437.0,1494.0,5,1494,1494,481.0,0,30,11,10,0,0,0,0,0,0,0,1
1933,10950,4,6,0.0,3,3,0,441.0,948.0,3,948,948,410.0,0,48,55,55,0,0,0,0,0,0,0,1
820,10637,4,8,336.0,4,5,3,1288.0,1705.0,5,1718,1718,826.0,208,44,2,1,0,0,0,0,0,0,0,1
675,9000,3,6,82.0,3,4,3,0.0,160.0,2,1142,1142,384.0,0,28,51,51,0,0,0,0,0,0,0,0
2910,2665,4,5,0.0,3,3,0,548.0,757.0,5,925,1475,336.0,104,26,29,29,0,1,0,0,0,0,1,0
21,11751,3,6,480.0,3,4,0,705.0,1844.0,5,1844,1844,546.0,0,122,33,33,0,0,0,0,0,0,0,1
1873,9600,4,7,320.0,3,3,0,916.0,1242.0,2,1242,1242,528.0,0,0,34,34,0,0,0,0,0,0,0,1
2125,8428,2,5,0.0,3,4,0,420.0,990.0,5,990,990,384.0,256,0,13,13,0,0,0,0,0,0,1,0
1489,9937,4,5,0.0,4,3,0,830.0,1256.0,4,1256,1256,276.0,736,68,43,43,0,0,0,0,0,0,1,0
2383,13891,4,10,0.0,5,5,3,1386.0,2076.0,5,2076,2076,850.0,216,229,0,0,0,0,0,1,0,0,1,0
983,9101,3,5,104.0,3,4,2,1097.0,1097.0,5,1110,1110,602.0,303,30,31,31,0,0,0,0,0,0,1,0
1325,12150,4,5,335.0,3,3,0,0.0,1050.0,5,1050,1795,352.0,0,0,54,54,0,1,0,0,0,0,1,0
1378,11200,4,5,0.0,3,3,0,906.0,1040.0,5,1040,1040,384.0,0,0,43,43,0,0,0,0,0,0,0,1
1537,9670,3,8,40.0,3,3,0,210.0,608.0,3,983,1873,786.0,0,0,73,58,0,0,0,0,0,0,1,0
905,10998,4,5,0.0,3,3,0,408.0,984.0,5,984,1604,660.0,0,68,68,49,0,0,0,0,0,0,1,0
1532,7200,4,7,0.0,3,4,0,0.0,776.0,3,851,1502,270.0,0,0,77,8,0,0,0,0,0,0,1,0
132,9920,4,5,110.0,3,3,0,354.0,1056.0,3,1063,1063,280.0,0,0,56,56,0,0,0,0,0,0,1,0
1078,2448,4,7,106.0,4,4,0,0.0,764.0,5,764,1626,474.0,0,27,5,4,0,0,0,1,0,0,1,0
2511,2998,4,6,513.0,4,4,0,353.0,756.0,5,768,1524,440.0,0,32,6,6,0,0,0,0,0,0,1,0
912,7804,4,4,0.0,3,3,0,622.0,1122.0,3,1328,1981,576.0,431,44,81,59,0,0,0,0,0,0,1,0
2351,16692,3,7,184.0,3,4,0,790.0,1392.0,3,1392,2784,564.0,0,112,28,28,1,0,0,0,0,0,1,0
330,1476,4,4,0.0,3,3,0,176.0,546.0,5,546,1092,0.0,200,26,40,40,0,1,0,0,0,0,1,0
2586,10170,4,6,522.0,3,3,0,0.0,216.0,3,1575,1575,400.0,0,0,55,55,0,0,0,0,0,0,0,1
224,9364,4,6,143.0,3,3,0,371.0,663.0,3,663,1352,299.0,379,36,41,41,1,0,0,0,0,0,1,0
98,2544,4,7,0.0,4,4,0,368.0,600.0,5,600,1200,480.0,0,172,6,5,0,0,0,0,0,0,1,0
2565,9888,4,5,0.0,3,3,0,486.0,936.0,3,936,936,240.0,0,0,52,31,0,0,0,0,0,0,1,0
1934,7942,4,6,0.0,3,3,0,85.0,1040.0,3,1040,1040,293.0,0,0,54,54,0,0,0,0,0,0,0,1
997,15038,2,6,0.0,3,4,0,138.0,916.0,4,916,1636,386.0,168,84,12,12,1,0,0,0,0,0,1,0
64,11764,3,8,348.0,4,4,0,524.0,1152.0,5,1164,2270,671.0,132,57,11,3,1,0,1,0,0,0,1,0
1799,9000,4,8,0.0,4,4,2,64.0,1184.0,5,1184,2610,550.0,208,364,0,0,1,0,0,0,0,0,1,0
230,20062,3,7,0.0,4,4,3,1092.0,1420.0,4,1483,1483,690.0,496,0,33,9,0,0,0,0,0,0,0,1
1295,7308,4,5,0.0,2,3,0,360.0,936.0,4,960,1740,225.0,0,0,88,58,0,1,0,0,0,0,1,0
638,8750,4,5,0.0,3,3,0,172.0,1382.0,4,1382,1382,350.0,280,0,54,54,0,0,0,0,0,0,1,0
2278,8402,4,5,0.0,3,4,0,206.0,1120.0,5,1120,1120,0.0,0,30,0,0,0,0,0,0,0,0,1,0
2202,4000,4,7,0.0,3,4,0,246.0,531.0,3,567,1098,216.0,0,0,77,12,0,0,0,0,0,0,1,0
2833,3363,4,7,117.0,4,4,0,0.0,976.0,5,976,1708,380.0,0,40,2,2,0,1,0,0,0,0,1,0
1707,13615,3,9,510.0,5,5,3,0.0,1802.0,5,1802,1802,843.0,158,105,1,1,0,0,0,1,0,0,0,1
2428,3013,4,7,145.0,4,4,3,16.0,1362.0,5,1506,1506,440.0,142,20,1,1,0,0,0,0,0,0,1,0
242,17485,2,7,96.0,4,4,3,1346.0,1508.0,5,1508,1508,572.0,0,0,1,0,0,0,0,0,0,0,1,0
1564,23730,2,7,668.0,4,5,1,700.0,1840.0,5,2032,2032,786.0,0,46,12,11,0,0,0,0,0,0,1,0
2613,8910,4,6,0.0,3,3,1,655.0,655.0,5,1194,1194,539.0,0,0,47,47,0,0,0,0,0,0,0,1
2832,2522,4,7,50.0,4,4,0,0.0,970.0,5,970,1709,380.0,0,40,2,2,0,1,0,0,0,0,1,0
2459,8688,4,7,228.0,4,4,2,0.0,1616.0,5,1616,1616,834.0,208,59,1,1,0,0,0,0,0,0,1,0
1360,6291,3,6,0.0,4,3,0,0.0,768.0,3,768,768,440.0,0,0,78,58,0,1,0,0,0,0,1,0
2723,17529,4,5,65.0,3,3,0,0.0,872.0,2,872,872,322.0,0,0,82,56,0,0,0,0,0,0,1,0
1350,6324,3,4,0.0,3,3,0,0.0,520.0,2,520,520,240.0,49,0,81,58,0,1,0,0,0,0,1,0
136,11600,4,5,361.0,3,3,0,443.0,1105.0,3,1105,2274,480.0,0,0,50,50,0,0,0,0,0,0,1,0
2235,7288,4,5,0.0,4,3,0,0.0,936.0,5,936,1601,0.0,0,0,82,4,0,1,0,0,0,0,1,0
1993,4571,4,5,0.0,3,3,0,168.0,616.0,5,616,1232,480.0,280,0,97,57,0,1,0,0,0,0,1,0
367,17423,3,9,748.0,5,5,0,1904.0,2216.0,5,2234,2234,1166.0,0,60,1,0,0,0,0,0,1,1,0,1
1309,12665,3,5,0.0,3,3,1,0.0,876.0,4,876,1416,720.0,418,0,93,58,0,1,0,0,0,0,1,0
402,9000,4,4,0.0,3,3,0,240.0,864.0,4,864,864,576.0,200,0,38,3,0,0,0,0,0,0,1,0
1592,4500,4,6,197.0,3,5,0,864.0,1189.0,5,1189,1189,392.0,0,122,11,11,0,1,0,0,0,0,0,1
2409,6373,4,9,572.0,5,5,0,415.0,1666.0,5,1666,1666,575.0,228,75,0,0,0,0,0,1,0,0,0,1
539,10083,4,7,0.0,4,4,0,833.0,1176.0,5,1200,1200,555.0,0,41,6,6,0,0,0,0,0,0,1,0
1940,13300,4,5,0.0,3,4,0,377.0,928.0,3,928,928,252.0,261,0,51,7,0,0,0,0,0,0,0,1
588,9600,4,5,128.0,3,4,1,553.0,1288.0,3,1336,1336,502.0,312,11,40,40,0,0,0,0,0,0,1,0
96,3215,4,7,120.0,4,4,2,280.0,600.0,5,600,1200,480.0,0,172,6,6,0,0,0,0,0,0,1,0
1187,11104,3,6,0.0,3,3,2,828.0,1427.0,4,1427,1427,516.0,0,0,39,39,0,0,0,0,0,0,1,0
2154,15295,1,7,254.0,4,4,1,762.0,860.0,5,1212,1992,608.0,225,32,11,5,1,0,0,0,0,0,1,0
550,9109,4,7,0.0,4,4,0,36.0,754.0,5,754,1540,495.0,140,32,15,15,1,0,0,0,0,0,1,0
811,7018,4,5,0.0,3,0,0,0.0,0.0,3,1535,1535,400.0,0,0,30,30,0,0,0,0,0,0,1,0
124,14112,3,5,86.0,3,3,2,1014.0,1152.0,3,1152,1152,484.0,227,0,46,46,0,0,0,0,0,0,0,1
1836,3523,3,8,30.0,4,4,0,60.0,1141.0,5,1151,1151,484.0,0,60,1,0,0,0,0,0,0,0,1,0
779,15312,4,6,54.0,3,3,2,588.0,1138.0,5,1138,1138,480.0,0,0,49,49,0,0,0,0,0,0,0,1
1886,7450,3,5,0.0,3,3,0,438.0,894.0,4,1074,1074,396.0,0,72,51,51,0,0,0,0,0,0,0,1
1724,7313,4,9,246.0,5,5,0,1153.0,1561.0,5,1561,1561,556.0,203,47,2,2,0,0,0,1,0,0,0,1
2450,10019,3,8,397.0,4,4,0,527.0,1342.0,5,1358,2726,725.0,307,169,11,11,1,0,1,0,0,0,0,1
1013,15401,3,9,296.0,5,5,3,1337.0,1884.0,5,1884,1884,670.0,214,76,4,4,0,0,0,0,1,0,0,1
2084,9098,3,4,0.0,3,3,1,348.0,528.0,5,605,605,0.0,0,0,87,5,0,0,0,0,0,0,1,0
1184,16280,4,8,0.0,5,4,1,1044.0,1426.0,5,1671,1671,550.0,280,90,32,1,0,0,0,0,0,0,1,0
728,9392,4,3,0.0,3,2,0,0.0,245.0,3,797,797,0.0,0,36,109,59,0,0,0,0,0,0,0,0
950,12209,3,6,0.0,3,5,0,690.0,804.0,5,804,1961,560.0,125,192,8,7,1,0,0,0,0,0,1,0
2524,13110,3,5,144.0,3,4,0,962.0,1153.0,5,1193,1193,501.0,140,153,34,34,0,0,0,0,0,0,1,0
2513,2651,4,7,0.0,4,4,0,641.0,673.0,5,673,1382,490.0,153,50,6,6,0,0,0,0,0,0,1,0
2028,8520,4,6,0.0,3,3,0,168.0,714.0,3,1664,2526,216.0,88,15,91,57,0,1,0,0,0,0,1,0
2309,39384,3,6,902.0,3,4,3,1110.0,1705.0,5,1390,1390,550.0,0,189,49,49,0,0,0,0,0,0,1,0
51,2628,4,7,106.0,4,4,0,0.0,764.0,5,764,1626,474.0,0,27,7,7,0,0,0,1,0,0,1,0
699,6406,4,5,0.0,3,3,0,421.0,690.0,3,868,1558,400.0,0,36,70,59,0,1,0,0,0,0,1,0
1881,12342,3,5,0.0,3,3,0,0.0,978.0,3,1422,1422,286.0,0,0,47,29,0,0,0,0,0,0,0,1
1345,6240,4,5,0.0,3,3,0,0.0,1078.0,3,1128,1573,360.0,0,0,78,16,0,1,0,0,0,0,1,0
166,10000,3,6,261.0,3,3,0,0.0,1116.0,3,1116,1116,440.0,0,0,48,48,0,0,0,0,0,0,0,1
781,9000,4,2,0.0,3,0,0,0.0,0.0,2,660,660,0.0,0,0,62,59,0,0,0,0,0,0,1,0
379,11088,4,6,144.0,3,3,0,832.0,1140.0,4,1707,1707,479.0,0,0,31,11,0,0,0,0,0,0,1,0
2818,17755,4,5,132.0,3,3,0,176.0,1466.0,3,1466,1466,528.0,0,140,47,47,0,0,0,0,0,0,1,0
1168,4765,3,9,260.0,4,4,2,1027.0,1614.0,5,1638,1638,495.0,230,68,8,8,0,0,0,0,0,0,0,1
1396,10532,4,5,275.0,3,3,1,988.0,988.0,4,1721,1721,626.0,50,84,48,48,0,0,0,0,0,0,0,0
838,15426,3,6,0.0,3,4,0,821.0,928.0,5,928,1764,470.0,276,99,12,12,1,0,0,0,0,0,1,0
1492,13907,4,5,0.0,3,3,0,290.0,996.0,5,996,996,0.0,144,0,68,39,0,0,0,0,0,0,1,0
637,8750,4,5,0.0,3,3,0,435.0,1202.0,3,1202,1202,304.0,0,35,53,53,0,0,0,0,0,0,1,0
1826,9945,3,5,57.0,3,3,0,827.0,988.0,3,988,988,572.0,0,0,46,46,0,0,0,0,0,0,0,1
173,8960,4,5,0.0,3,3,0,0.0,1008.0,4,1028,1028,360.0,0,0,83,60,0,1,0,0,0,0,1,0
715,3500,4,5,0.0,3,3,0,312.0,720.0,3,720,1284,240.0,0,35,62,59,0,1,0,0,0,0,1,0
1183,24572,3,9,1050.0,4,4,0,410.0,994.0,3,1599,2944,864.0,140,70,31,31,1,0,0,0,0,0,0,0
2433,9056,3,8,0.0,4,5,2,0.0,707.0,5,707,1414,403.0,100,35,2,2,1,0,0,0,0,0,1,0
2866,12320,3,7,0.0,3,3,0,0.0,637.0,5,959,1609,579.0,0,0,74,16,0,0,0,0,0,0,1,0
2311,8238,3,6,0.0,3,3,0,700.0,813.0,5,813,1525,400.0,421,72,9,8,1,0,0,0,0,0,1,0
1551,6000,4,5,0.0,2,4,1,257.0,624.0,5,1092,1656,288.0,0,180,41,41,0,1,0,0,0,0,0,1
1049,2529,4,7,0.0,3,4,0,378.0,1055.0,2,1055,1055,440.0,0,38,31,31,0,0,0,0,0,0,1,0
657,10800,4,5,0.0,3,3,0,0.0,676.0,5,676,1352,720.0,187,0,70,3,1,0,0,0,0,0,1,0
414,2349,4,6,0.0,3,4,0,389.0,855.0,3,855,1456,440.0,0,28,32,32,0,0,0,0,0,0,1,0
